71	Portuguese	Mariana Dáfine	Macedo, Joaquim Teixeira de	West-central Africa	West-central Africa
72	Portuguese	NS do Livramento Telemaco	Nunes, José Antônio	West-central Africa	West-central Africa
73	Portuguese	Triunfo do Rio	Jacques, Malaquias Lisandro	West-central Africa	West-central Africa
74	Portuguese	Famoso Ateneu	Fogaça, Antônio Gomes	West-central Africa	West-central Africa
75	Portuguese	Feliz Carlota	Cardoso, Manoel Eusébio	West-central Africa	West-central Africa
76	Portuguese	S José Diligente	Nunes, Francisco Pereira	South-east Africa	South-east Africa
77	Portuguese	Ana do Rio	Oliveira, Joao José de	West-central Africa	West-central Africa
78	Portuguese	Lusitânia	Fogaça, José Joaquim	West-central Africa	West-central Africa
79	Portuguese	Amizade	Portela, Adriano	West-central Africa	West-central Africa
80	Portuguese	S Joao Americano	Madeira, Manoel José	West-central Africa	West-central Africa
81	Portuguese	Saudade do Sul	Rocha, Joao Manoel Pinto da	West-central Africa	West-central Africa
82	Portuguese	Delfina	Rozo, Manoel Fernandes	West-central Africa	West-central Africa
83	Portuguese	Olímpia	Blanchart, Manoel Pereira de Souza	West-central Africa	West-central Africa
84	Portuguese	Voadora	Santos, José Pedro dos	West-central Africa	West-central Africa
85	Portuguese	S José Diligente Vulcano	Alves, Isidoro	West-central Africa	West-central Africa
86	Portuguese	Maria Tomásia	Melo, Francisco Xavier Álvares de	West-central Africa	West-central Africa
87	Portuguese	Uniao Feliz	Silva, Joaquim José da	South-east Africa	South-east Africa
88	Portuguese	Emília	Almeida, André Germano Severino de	West-central Africa	West-central Africa
89	Portuguese	S Rosa	Araújo, Tomás Raimundo Rodrigues de	West-central Africa	West-central Africa
90	Portuguese	Príncipe Real	Marta, Inácio Alves	West-central Africa	West-central Africa
91	Portuguese	Amália	Garcia, Francisco Correa	West-central Africa	West-central Africa
92	Portuguese	Bonfim	Batalha, Luís Antônio	West-central Africa	West-central Africa
93	Portuguese	General Silveira	Figueiredo, Joao Macário da Silva	West-central Africa	West-central Africa
94	Portuguese	Voador	Pacheco, José dos Santos	West-central Africa	West-central Africa
95	Portuguese	Patrocínio	Gomes, Manoel Luís	West-central Africa	West-central Africa
96	Portuguese	Maria	Silva, Joaquim Henriques da	West-central Africa	West-central Africa
97	Portuguese	Elisa	Carvalho, Antônio Joaquim de	West-central Africa	West-central Africa
98	Portuguese	Diligente	Ferreira, Antônio José	West-central Africa	West-central Africa
99	Portuguese	Luís	Coelho, Jacinto Fernandes	West-central Africa	West-central Africa
